Cluster,log_TMB,Fraction Genome Altered,Aneuploidy Score,Buffa Hypoxia Score,Ragnum Hypoxia Score,Winter Hypoxia Score,log_MutCount
0,0.99,0.23,13.96,8.41,0.64,17.26,3.84
1,0.58,0.07,4.65,-24.19,-13.23,-21.02,2.91
